wpt,lat,lon,grid,geo,geom
WP38,-12.216658,127.407497,1,terrace,non-bank
WP39,-12.218201,127.395952,1,terrace,non-bank
WP31,-12.219738,127.445019,1,bank,bank
WP34,-12.200173,127.42015,1,bank,bank
WP36,-12.188775,127.405758,1,bank,bank
WP37,-12.202025,127.409679,1,bank,bank
WP9,-12.184548,127.449794,1,bank,bank
WP33,-12.193518,127.442201,1,bank,bank
WP1,-12.149789,127.454383,1,bank,bank
WP13,-12.135478,127.414274,1,bank,bank
WP15,-12.134765,127.432298,1,bank,bank
WP16,-12.134282,127.441289,1,bank,bank
WP17,-12.130489,127.447584,1,bank,bank
WP18,-12.118778,127.435058,1,bank,bank
WP20,-12.101625,127.45395,1,depression,non-bank
WP23,-12.066928,127.415895,1,bank,bank
WP24,-12.072192,127.431533,1,bank,bank
WP26,-12.078969,127.445217,1,bank,bank
WP27,-12.086625,127.437466,1,bank,bank
WP28,-12.086187,127.41665,1,bank,bank
WP2,-12.147897,127.430234,1,plain,non-bank
WP3,-12.155176,127.415542,1,plain,non-bank
WP4,-12.161122,127.40149,1,plain,non-bank
WP5,-12.162535,127.388566,1,plain,non-bank
WP6,-12.180146,127.395647,1,plain,non-bank
WP7,-12.174866,127.404062,1,plain,non-bank
WP8,-12.185807,127.429699,1,plain,non-bank
WP10,-12.166577,127.454746,1,plain,non-bank
WP11,-12.141384,127.395014,1,plain,non-bank
WP12,-12.144639,127.403274,1,plain,non-bank
WP14,-12.123596,127.415278,1,plain,non-bank
WP21,-12.064712,127.39885,1,plain,non-bank
WP22,-12.073351,127.403944,1,plain,non-bank
WP29,-12.094384,127.404838,1,plain,non-bank
WP30,-12.095477,127.387234,1,plain,non-bank
WP32,-12.20101,127.452911,1,plain,non-bank
WP35,-12.184999,127.41433,1,plain,non-bank
WP25,-12.0655,127.452946,1,depression,non-bank
WP118,-11.882116,127.063766,2,scarp,non-bank
WP44,-11.900383,127.111766,2,bank,bank
WP45,-11.8966,127.109216,2,bank,bank
WP46,-11.900133,127.106416,2,bank,bank
WP51,-11.900316,127.065833,2,bank,bank
WP52,-11.897499,127.076666,2,bank,bank
WP53,-11.899816,127.082783,2,bank,bank
WP54,-11.894466,127.083433,2,bank,bank
WP55,-11.895666,127.094166,2,bank,bank
WP56,-11.896983,127.1011,2,bank,bank
WP57,-11.891633,127.099333,2,bank,bank
WP115,-11.88115,127.08315,2,bank,bank
WP116,-11.886316,127.078866,2,bank,bank
WP117,-11.887083,127.068616,2,bank,bank
WP41,-11.876516,127.1159,2,plain,non-bank
WP42,-11.887516,127.114116,2,plain,non-bank
WP43,-11.903249,127.122866,2,plain,non-bank
WP47,-11.90725,127.1043,2,plain,non-bank
WP48,-11.911633,127.101116,2,plain,non-bank
WP49,-11.922466,127.081166,2,plain,non-bank
WP50,-11.928416,127.077516,2,plain,non-bank
WP58,-11.883149,127.099866,2,plain,non-bank
WP59,-11.8812,127.10665,2,plain,non-bank
WP61,-11.846099,127.082266,2,plain,non-bank
WP62,-11.86505,127.07855,2,plain,non-bank
WP63,-11.858499,127.07305,2,plain,non-bank
WP64,-11.852433,127.063716,2,plain,non-bank
WP65,-11.868399,127.067616,2,plain,non-bank
WP66,-11.865083,127.057283,2,plain,non-bank
WP67,-11.861833,127.045783,2,plain,non-bank
WP68,-11.873733,127.046383,2,plain,non-bank
WP69,-11.870383,127.037566,2,plain,non-bank
WP70,-11.86755,127.024233,2,plain,non-bank
WP111,-11.865599,127.10875,2,plain,non-bank
WP112,-11.865333,127.095033,2,plain,non-bank
WP113,-11.8757,127.09,2,plain,non-bank
WP114,-11.874466,127.083583,2,plain,non-bank
WP119,-11.884649,127.0573,2,plain,non-bank
WP120,-11.885266,127.050066,2,plain,non-bank
WP71,-11.4463,126.910916,3,bank,bank
WP75,-11.439083,126.944633,3,bank,bank
WP76,-11.431499,126.942333,3,bank,bank
WP77,-11.419483,126.938016,3,bank,bank
WP78,-11.417216,126.930516,3,bank,bank
WP79,-11.423483,126.927016,3,bank,bank
WP80,-11.434366,126.926766,3,bank,bank
WP82,-11.445449,126.950116,3,bank,bank
WP83,-11.4373,126.950466,3,bank,bank
WP84,-11.431833,126.952066,3,bank,bank
WP85,-11.425916,126.95905,3,bank,bank
WP86,-11.432866,126.960516,3,bank,bank
WP87,-11.43695,126.970683,3,bank,bank
WP95,-11.416449,126.962733,3,bank,bank
WP102,-11.403533,126.9079,3,bank,bank
WP105,-11.394083,126.9322,3,bank,bank
WP107,-11.412716,126.952633,3,bank,bank
WP108,-11.4248,126.934383,3,bank,bank
WP109,-11.412049,126.923483,3,bank,bank
WP110,-11.407966,126.925916,3,bank,bank
WP72,-11.447966,126.92035,3,plain,non-bank
WP73,-11.446666,126.9281,3,plain,non-bank
WP74,-11.448733,126.9411,3,plain,non-bank
WP81,-11.44925,126.966333,3,plain,non-bank
WP88,-11.43825,126.987383,3,plain,non-bank
WP89,-11.42955,126.9952,3,plain,non-bank
WP90,-11.423616,126.98565,3,plain,non-bank
WP91,-11.413849,126.996416,3,plain,non-bank
WP92,-11.411833,126.986183,3,plain,non-bank
WP93,-11.417716,126.980083,3,plain,non-bank
WP94,-11.4259,126.971866,3,plain,non-bank
WP96,-11.409383,126.96525,3,plain,non-bank
WP97,-11.402049,126.971633,3,plain,non-bank
WP98,-11.395883,126.973783,3,plain,non-bank
WP99,-11.397183,126.989166,3,plain,non-bank
WP100,-11.402416,126.995833,3,plain,non-bank
WP101,-11.416749,126.90805,3,plain,non-bank
WP103,-11.39535,126.90865,3,plain,non-bank
WP104,-11.392916,126.9189,3,plain,non-bank
WP106,-11.402216,126.94805,3,plain,non-bank